Field.of.study,Field.of.study.parent
"Multidisciplinary/interdisciplinary studies, other [30.99]",Multidisciplinary/interdisciplinary studies [30]
"Parks, recreation, leisure and fitness studies [31]","Parks, recreation, leisure and fitness studies [31]"
"Parks, recreation and leisure studies [31.01]","Parks, recreation, leisure and fitness studies [31]"
"Parks, recreation and leisure facilities management [31.03]","Parks, recreation, leisure and fitness studies [31]"
Health and physical education/fitness [31.05],"Parks, recreation, leisure and fitness studies [31]"
Philosophy and religious studies [38],Philosophy and religious studies [38]
"Philosophy and religious studies, general [38.00]",Philosophy and religious studies [38]
"Philosophy, logic and ethics [38.01]",Philosophy and religious studies [38]
Religion/religious studies [38.02],Philosophy and religious studies [38]
"Philosophy and religious studies, other [38.99]",Philosophy and religious studies [38]
Theology and religious vocations [39],Theology and religious vocations [39]
Bible/Biblical studies [39.02],Theology and religious vocations [39]
Religious education [39.04],Theology and religious vocations [39]
Theological and ministerial studies [39.06],Theology and religious vocations [39]
Pastoral counselling and specialized ministries [39.07],Theology and religious vocations [39]
"Theology and religious vocations, other [39.99]",Theology and religious vocations [39]
Physical sciences [40],Physical sciences [40]
"Physical sciences, general [40.01]",Physical sciences [40]
Astronomy and astrophysics [40.02],Physical sciences [40]
Atmospheric sciences and meteorology [40.04],Physical sciences [40]
Chemistry [40.05],Physical sciences [40]
Geological and Earth sciences/geosciences [40.06],Physical sciences [40]
Physics [40.08],Physical sciences [40]
Materials sciences [40.10],Physical sciences [40]
"Physical sciences, other [40.99]",Physical sciences [40]
Psychology [42],Psychology [42]
"Psychology, general [42.01]",Psychology [42]
Research and experimental psychology [42.27],Psychology [42]
"Clinical, counselling and applied psychology [42.28]",Psychology [42]
"Psychology, other [42.99]",Psychology [42]
Security and protective services [43],Security and protective services [43]
Criminal justice and corrections [43.01],Security and protective services [43]
"Security and protective services, specialized programs [43.03]",Security and protective services [43]
Public administration and social service professions (except cannabis) [44],Public administration and social service professions (except cannabis) [44]
"Human services, general [44.00]",Public administration and social service professions (except cannabis) [44]
Community organization and advocacy [44.02],Public administration and social service professions (except cannabis) [44]
Public administration [44.04],Public administration and social service professions (except cannabis) [44]
Public policy analysis (except cannabis) [44.05],Public administration and social service professions (except cannabis) [44]
Social work [44.07],Public administration and social service professions (except cannabis) [44]
Social sciences [45],Social sciences [45]
"Social sciences, general [45.01]",Social sciences [45]
Anthropology [45.02],Social sciences [45]
Archaeology [45.03],Social sciences [45]
Criminology [45.04],Social sciences [45]
Demography and population studies [45.05],Social sciences [45]
Economics [45.06],Social sciences [45]
Geography and cartography [45.07],Social sciences [45]
International relations and national security studies [45.09],Social sciences [45]
Political science and government [45.10],Social sciences [45]
Sociology [45.11],Social sciences [45]
Urban studies/affairs [45.12],Social sciences [45]
Sociology and anthropology [45.13],Social sciences [45]
Rural sociology [45.14],Social sciences [45]
"Social sciences, other [45.99]",Social sciences [45]
Transportation and materials moving [49],Transportation and materials moving [49]
Air transportation [49.01],Transportation and materials moving [49]
Visual and performing arts [50],Visual and performing arts [50]
"Visual, digital and performing arts, general [50.01]",Visual and performing arts [50]
"Crafts/craft design, folk art and artisanry [50.02]",Visual and performing arts [50]
Dance [50.03],Visual and performing arts [50]
Design and applied arts [50.04],Visual and performing arts [50]
Drama/theatre arts and stagecraft [50.05],Visual and performing arts [50]
Film/video and photographic arts [50.06],Visual and performing arts [50]
Fine arts and art studies [50.07],Visual and performing arts [50]
Music [50.09],Visual and performing arts [50]
"Arts, entertainment, and media management [50.10]",Visual and performing arts [50]
"Visual and performing arts, other [50.99]",Visual and performing arts [50]
Health professions and related programs (except cannabis) [51.c],Health professions and related programs (except cannabis) [51.c]
"Health services/allied health/health sciences, general [51.00]",Health professions and related programs (except cannabis) [51.c]
Chiropractic (DC) [51.01],Health professions and related programs (except cannabis) [51.c]
Communication disorders sciences and services [51.02],Health professions and related programs (except cannabis) [51.c]
"Dentistry (DDS, DMD) [51.04]",Health professions and related programs (except cannabis) [51.c]
"Advanced/graduate dentistry and oral sciences (Cert., MS, MSc, PhD) [51.05]",Health professions and related programs (except cannabis) [51.c]
Dental support services and allied professions [51.06],Health professions and related programs (except cannabis) [51.c]
Health and medical administrative services [51.07],Health professions and related programs (except cannabis) [51.c]
"Allied health diagnostic, intervention and treatment professions [51.09]",Health professions and related programs (except cannabis) [51.c]
Clinical/medical laboratory science/research and allied professions [51.10],Health professions and related programs (except cannabis) [51.c]
Medicine (MD) [51.12],Health professions and related programs (except cannabis) [51.c]
"Medical scientist (MS, MSc, PhD) [51.14]",Health professions and related programs (except cannabis) [51.c]
Mental and social health services and allied professions (except cannabis) [51.15c],Health professions and related programs (except cannabis) [51.c]
Optometry (OD) [51.17],Health professions and related programs (except cannabis) [51.c]
