program.code.first,program.code.full,Field.of.study,Field.of.study.parent
"Total, field of study","Total, field of study","Total, field of study","Total, field of study"
31,31.03,"Parks, recreation and leisure facilities management [31.03]","Parks, recreation, leisure and fitness studies [31]"
31,31.05,Health and physical education/fitness [31.05],"Parks, recreation, leisure and fitness studies [31]"
38,38,Philosophy and religious studies [38],Philosophy and religious studies [38]
38,38.01,"Philosophy, logic and ethics [38.01]",Philosophy and religious studies [38]
38,38.02,Religion/religious studies [38.02],Philosophy and religious studies [38]
38,38.99,"Philosophy and religious studies, other [38.99]",Philosophy and religious studies [38]
39,39,Theology and religious vocations [39],Theology and religious vocations [39]
39,39.02,Bible/Biblical studies [39.02],Theology and religious vocations [39]
39,39.04,Religious education [39.04],Theology and religious vocations [39]
39,39.06,Theological and ministerial studies [39.06],Theology and religious vocations [39]
39,39.99,"Theology and religious vocations, other [39.99]",Theology and religious vocations [39]
40,40,Physical sciences [40],Physical sciences [40]
40,40.01,"Physical sciences, general [40.01]",Physical sciences [40]
40,40.02,Astronomy and astrophysics [40.02],Physical sciences [40]
40,40.04,Atmospheric sciences and meteorology [40.04],Physical sciences [40]
40,40.05,Chemistry [40.05],Physical sciences [40]
40,40.06,Geological and Earth sciences/geosciences [40.06],Physical sciences [40]
40,40.08,Physics [40.08],Physical sciences [40]
40,40.10,Materials sciences [40.10],Physical sciences [40]
40,40.99,"Physical sciences, other [40.99]",Physical sciences [40]
42,42,Psychology [42],Psychology [42]
42,42.01,"Psychology, general [42.01]",Psychology [42]
42,42.27,Research and experimental psychology [42.27],Psychology [42]
42,42.28,"Clinical, counselling and applied psychology [42.28]",Psychology [42]
43,43,Security and protective services [43],Security and protective services [43]
43,43.01,Criminal justice and corrections [43.01],Security and protective services [43]
43,43.03,"Security and protective services, specialized programs [43.03]",Security and protective services [43]
44,44,Public administration and social service professions (except cannabis) [44],Public administration and social service professions (except cannabis) [44]
44,44.00,"Human services, general [44.00]",Public administration and social service professions (except cannabis) [44]
44,44.02,Community organization and advocacy [44.02],Public administration and social service professions (except cannabis) [44]
44,44.04,Public administration [44.04],Public administration and social service professions (except cannabis) [44]
44,44.05,Public policy analysis (except cannabis) [44.05],Public administration and social service professions (except cannabis) [44]
44,44.07,Social work [44.07],Public administration and social service professions (except cannabis) [44]
45,45,Social sciences [45],Social sciences [45]
45,45.01,"Social sciences, general [45.01]",Social sciences [45]
45,45.02,Anthropology [45.02],Social sciences [45]
45,45.03,Archaeology [45.03],Social sciences [45]
45,45.04,Criminology [45.04],Social sciences [45]
45,45.05,Demography and population studies [45.05],Social sciences [45]
45,45.06,Economics [45.06],Social sciences [45]
45,45.07,Geography and cartography [45.07],Social sciences [45]
45,45.09,International relations and national security studies [45.09],Social sciences [45]
45,45.10,Political science and government [45.10],Social sciences [45]
45,45.11,Sociology [45.11],Social sciences [45]
45,45.12,Urban studies/affairs [45.12],Social sciences [45]
45,45.13,Sociology and anthropology [45.13],Social sciences [45]
45,45.99,"Social sciences, other [45.99]",Social sciences [45]
49,49,Transportation and materials moving [49],Transportation and materials moving [49]
49,49.01,Air transportation [49.01],Transportation and materials moving [49]
50,50,Visual and performing arts [50],Visual and performing arts [50]
50,50.01,"Visual, digital and performing arts, general [50.01]",Visual and performing arts [50]
50,50.02,"Crafts/craft design, folk art and artisanry [50.02]",Visual and performing arts [50]
50,50.03,Dance [50.03],Visual and performing arts [50]
50,50.04,Design and applied arts [50.04],Visual and performing arts [50]
50,50.05,Drama/theatre arts and stagecraft [50.05],Visual and performing arts [50]
50,50.06,Film/video and photographic arts [50.06],Visual and performing arts [50]
50,50.07,Fine arts and art studies [50.07],Visual and performing arts [50]
50,50.09,Music [50.09],Visual and performing arts [50]
50,50.10,"Arts, entertainment, and media management [50.10]",Visual and performing arts [50]
50,50.99,"Visual and performing arts, other [50.99]",Visual and performing arts [50]
51,51.c,Health professions and related programs (except cannabis) [51.c],Health professions and related programs (except cannabis) [51.c]
51,51.00,"Health services/allied health/health sciences, general [51.00]",Health professions and related programs (except cannabis) [51.c]
51,51.01,Chiropractic (DC) [51.01],Health professions and related programs (except cannabis) [51.c]
51,51.02,Communication disorders sciences and services [51.02],Health professions and related programs (except cannabis) [51.c]
51,51.04,"Dentistry (DDS, DMD) [51.04]",Health professions and related programs (except cannabis) [51.c]
51,51.06,Dental support services and allied professions [51.06],Health professions and related programs (except cannabis) [51.c]
51,51.07,Health and medical administrative services [51.07],Health professions and related programs (except cannabis) [51.c]
51,51.09,"Allied health diagnostic, intervention and treatment professions [51.09]",Health professions and related programs (except cannabis) [51.c]
51,51.10,Clinical/medical laboratory science/research and allied professions [51.10],Health professions and related programs (except cannabis) [51.c]
51,51.12,Medicine (MD) [51.12],Health professions and related programs (except cannabis) [51.c]
51,51.15c,Mental and social health services and allied professions (except cannabis) [51.15c],Health professions and related programs (except cannabis) [51.c]
51,51.17,Optometry (OD) [51.17],Health professions and related programs (except cannabis) [51.c]
51,51.20,"Pharmacy, pharmaceutical sciences and administration [51.20]",Health professions and related programs (except cannabis) [51.c]
51,51.21,Podiatric medicine/podiatry (DPM) [51.21],Health professions and related programs (except cannabis) [51.c]
51,51.22c,Public health (except cannabis) [51.22c],Health professions and related programs (except cannabis) [51.c]
51,51.23,Rehabilitation and therapeutic professions [51.23],Health professions and related programs (except cannabis) [51.c]
51,51.24,Veterinary medicine (DVM) [51.24],Health professions and related programs (except cannabis) [51.c]
51,51.27,Medical illustration and informatics [51.27],Health professions and related programs (except cannabis) [51.c]
51,51.31,Dietetics and clinical nutrition services [51.31],Health professions and related programs (except cannabis) [51.c]
51,51.38,"Registered nursing, nursing administration, nursing research and clinical nursing [51.38]",Health professions and related programs (except cannabis) [51.c]
51,51.39,"Practical nursing, vocational nursing and nursing assistants [51.39]",Health professions and related programs (except cannabis) [51.c]
52,52.c,"Business, management, marketing and related support services (except cannabis) [52.c]","Business, management, marketing and related support services (except cannabis) [52.c]"
52,52.01,"Business/commerce, general [52.01]","Business, management, marketing and related support services (except cannabis) [52.c]"
52,52.02,"Business administration, management and operations [52.02]","Business, management, marketing and related support services (except cannabis) [52.c]"
52,52.03,Accounting and related services [52.03],"Business, management, marketing and related support services (except cannabis) [52.c]"
52,52.06,Business/managerial economics [52.06],"Business, management, marketing and related support services (except cannabis) [52.c]"
52,52.07,Entrepreneurial and small business operations [52.07],"Business, management, marketing and related support services (except cannabis) [52.c]"
52,52.08,Finance and financial management services [52.08],"Business, management, marketing and related support services (except cannabis) [52.c]"
52,52.09,Hospitality administration/management [52.09],"Business, management, marketing and related support services (except cannabis) [52.c]"
52,52.10,Human resources management and services [52.10],"Business, management, marketing and related support services (except cannabis) [52.c]"
52,52.11,International business/trade/commerce [52.11],"Business, management, marketing and related support services (except cannabis) [52.c]"
52,52.12,Management information systems and services [52.12],"Business, management, marketing and related support services (except cannabis) [52.c]"
52,52.13,Management sciences and quantitative methods [52.13],"Business, management, marketing and related support services (except cannabis) [52.c]"
52,52.14,Marketing [52.14],"Business, management, marketing and related support services (except cannabis) [52.c]"
52,52.15,Real estate [52.15],"Business, management, marketing and related support services (except cannabis) [52.c]"
52,52.18c,"General sales, merchandising and related marketing operations (except cannabis) [52.18c]","Business, management, marketing and related support services (except cannabis) [52.c]"
52,52.19c,"Specialized sales, merchandising and marketing operations (except cannabis) [52.19c]","Business, management, marketing and related support services (except cannabis) [52.c]"
54,54,History [54],History [54]
54,54.01,History [54.01],History [54]
55,55,French language and literature/letters [55],French language and literature/letters [55]
55,55.01,"French language and literature, general [55.01]",French language and literature/letters [55]
55,55.13,French rhetoric and composition/writing studies [55.13],French language and literature/letters [55]
55,55.14,French literature [55.14],French language and literature/letters [55]
Unclassified,Unclassified,Unclassified,Unclassified
4,4.08,Architectural history and criticism [4.08],Architecture and related services [4]
11,11.09,Computer systems networking and telecommunications [11.09],Computer and information sciences and support services [11]
14,14.23,Nuclear engineering [14.23],Engineering [14]
14,14.42,"Mechatronics, robotics, and automation engineering [14.42]",Engineering [14]
14,14.43,Biochemical engineering [14.43],Engineering [14]
15,15.07,Quality control and safety technologies/technicians [15.07],Engineering technologies and engineering-related fields [15]
15,15.12,Computer engineering technologies/technicians [15.12],Engineering technologies and engineering-related fields [15]
19,19.00,Work and family studies [19.00],Family and consumer sciences/human sciences [19]
19,19.04,Family and consumer economics and related services [19.04],Family and consumer sciences/human sciences [19]
19,19.06,Housing and human environments [19.06],Family and consumer sciences/human sciences [19]
21,21,Pre-technology education/pre-industrial arts programs [21],Pre-technology education/pre-industrial arts programs [21]
21,21.01,Pre-technology education/pre-industrial arts programs [21.01],Pre-technology education/pre-industrial arts programs [21]
27,27.99,"Mathematics and statistics, other [27.99]",Mathematics and statistics [27]
30,30.27,Human biology [30.27],Multidisciplinary/interdisciplinary studies [30]
39,39.07,Pastoral counselling and specialized ministries [39.07],Theology and religious vocations [39]
41,41,Science technologies/technicians [41],Science technologies/technicians [41]
41,41.03,Physical science technologies/technicians [41.03],Science technologies/technicians [41]
42,42.99,"Psychology, other [42.99]",Psychology [42]
45,45.14,Rural sociology [45.14],Social sciences [45]
51,51.14,"Medical scientist (MS, MSc, PhD) [51.14]",Health professions and related programs (except cannabis) [51.c]
51,51.34,Alternative and complementary medical support services [51.34],Health professions and related programs (except cannabis) [51.c]
52,52.05,Business/corporate communications [52.05],"Business, management, marketing and related support services (except cannabis) [52.c]"
52,52.99,"Business, management, marketing and related support services, other [52.99]","Business, management, marketing and related support services (except cannabis) [52.c]"
14,14.44,Engineering chemistry [14.44],Engineering [14]
15,15.00,"Engineering technology, general [15.00]",Engineering technologies and engineering-related fields [15]
16,16.15,"Turkic, Uralic-Altaic, Caucasian and Central Asian languages, literatures and linguistics [16.15]","Aboriginal and foreign languages, literatures and linguistics [16]"
39,39.03,Missions/missionary studies and missiology [39.03],Theology and religious vocations [39]
